Date,Bike.Count,Registered.Users,Casual.Users,Total.Dist,Total.Duration,Year,Month,Day,Temp_High,Temp_Avg,Temp_Low,Dew_High,Dew_Avg,Dew_Low,Hum_High,Hum_Avg,Hum_Low,Pres_High,Pres_Avg,Pres_Low,Vis_High,Vis_Avg,Vis_Low,Wind_High,Wind_Avg,Wind_Low,Rain_Inches,Rain,Fog,Snow,Thunderstorm
2/12/17,4755,3654,1101,9152526.642,5037782203,2017,Feb,12,55,50,45,47,40,30,86,64,41,30,29.83,29.68,10,10,7,52,9,65,0.03,1,0,0,0
2/13/17,6362,5953,409,12288032.82,4583671747,2017,Feb,13,47,41,35,24,19,13,56,42,27,30.11,30.02,29.88,10,10,10,37,19,49,0,0,0,0,0
2/14/17,7409,7005,404,14950821.89,5213362549,2017,Feb,14,46,38,30,35,27,20,75,60,45,30.08,29.93,29.72,10,10,10,22,7,27,T,1,0,0,0
2/15/17,7475,6965,510,15367159.8,5553617799,2017,Feb,15,55,46,37,38,26,16,79,57,34,29.7,29.59,29.46,10,10,10,33,11,45,0,0,0,0,0
2/16/17,6432,6089,343,12922070.61,4830316917,2017,Feb,16,42,37,32,23,16,13,61,47,33,29.96,29.81,29.66,10,10,3,30,13,36,T,0,0,1,0
2/17/17,7275,6465,810,14116008.91,5641420103,2017,Feb,17,51,40,28,29,20,15,64,48,31,29.99,29.94,29.88,10,10,10,10,4,13,0,0,0,0,0
2/18/17,10689,5195,5494,21552323.08,19554573296,2017,Feb,18,68,51,33,38,32,28,82,57,31,29.93,29.84,29.75,10,10,10,16,7,20,0,0,0,0,0
2/19/17,12358,5308,7050,25308563.62,25448855071,2017,Feb,19,71,60,49,47,43,37,86,60,33,30.06,29.91,29.79,10,10,10,18,9,25,0.01,1,0,0,0
2/2/17,7653,7214,439,15604786.65,5548166823,2017,Feb,2,50,43,36,34,25,13,70,51,31,30.26,30.16,30.09,10,10,10,23,8,28,0,0,0,0,0
2/20/17,10093,5919,4174,20194663.12,16270145727,2017,Feb,20,68,56,43,44,37,29,92,58,24,30.32,30.2,30.07,10,10,10,20,7,24,0,0,0,0,0
2/21/17,8813,7577,1236,18130175.45,8038744354,2017,Feb,21,58,50,41,39,31,22,71,53,35,30.37,30.26,30.12,10,10,10,15,7,18,0,0,0,0,0
2/22/17,9659,8425,1234,20105533.47,8700762876,2017,Feb,22,63,55,46,52,45,39,93,78,62,30.11,29.99,29.91,10,10,10,16,7,18,T,1,0,0,0
2/23/17,11722,9654,2068,24739280.58,11827970587,2017,Feb,23,75,64,53,55,53,52,100,75,49,29.91,29.88,29.81,10,10,10,17,10,23,0,0,0,0,0
2/24/17,12910,9576,3334,26849248.67,15853316267,2017,Feb,24,77,66,54,59,55,52,100,73,46,29.94,29.87,29.79,10,10,10,20,11,24,0,0,0,0,0
2/25/17,8228,5231,2997,16485484.55,1.16E+10,2017,Feb,25,75,60,44,60,50,22,93,66,38,29.86,29.63,29.43,10,9,2,32,15,46,0.18,1,0,0,1
2/26/17,6362,4439,1923,12280456.33,7760910144,2017,Feb,26,50,43,35,26,19,16,48,39,29,30.33,30.13,29.9,10,10,10,23,11,30,0,0,0,0,0
2/27/17,8261,7321,940,17648747.6,6866394734,2017,Feb,27,55,46,36,37,31,23,85,57,29,30.45,30.39,30.33,10,10,10,15,6,21,0,0,0,0,0
2/28/17,7830,6878,952,16497609.05,6585184837,2017,Feb,28,68,58,47,57,46,34,100,75,50,30.36,30.21,30.02,10,9,6,12,5,13,0.34,1,0,0,0
2/3/17,6542,6158,384,12802390.67,4731589413,2017,Feb,3,40,35,30,13,11,9,41,36,30,30.36,30.26,30.18,10,10,10,26,11,35,0,0,0,0,0
2/4/17,4795,3883,912,8946049.764,4517623936,2017,Feb,4,41,33,24,16,8,1,50,35,20,30.54,30.42,30.29,10,10,10,24,10,30,0,0,0,0,0
2/5/17,5502,4355,1147,10616577.1,5670459130,2017,Feb,5,54,43,32,32,21,12,70,50,29,30.27,30.06,29.92,10,10,10,17,10,23,0,0,0,0,0
2/6/17,8397,7518,879,17653088.42,7435134739,2017,Feb,6,61,47,33,38,34,29,92,66,40,30.18,30.09,29.98,10,10,10,14,8,16,0,0,0,0,0
2/7/17,9783,8830,953,20622790.05,8327327496,2017,Feb,7,73,61,48,54,45,38,72,66,59,29.96,29.77,29.6,10,10,10,22,13,32,T,1,0,0,0
2/8/17,10629,9445,1184,22510514.14,9389286028,2017,Feb,8,74,63,51,54,47,41,89,64,38,29.69,29.64,29.59,10,10,10,18,10,23,T,1,0,0,0
2/9/17,5378,5154,224,10441526.84,3965015745,2017,Feb,9,53,39,25,45,26,5,89,63,36,30.26,29.79,29.48,10,9,4,36,21,49,0.12,1,0,1,1
3/1/17,8969,8111,858,18733673.87,7211400687,2017,March,1,80,68,56,62,57,51,100,75,50,29.99,29.73,29.59,10,8,2,39,17,54,0.02,1,0,0,0
3/10/17,6018,5432,586,12130527.81,4474533090,2017,March,10,57,44,31,37,26,10,65,50,35,30.18,29.94,29.83,10,9,4,30,16,38,0.09,1,0,1,0
3/11/17,5113,3928,1185,9624965.78,5282951902,2017,March,11,40,33,26,13,8,3,50,36,22,30.36,30.28,30.19,10,10,10,25,15,36,0,0,0,0,0
3/12/17,4633,3355,1278,8308765.958,5307858455,2017,March,12,43,35,27,12,9,6,43,35,27,30.47,30.39,30.33,10,10,10,21,11,24,0,0,0,0,0
3/13/17,6474,5621,853,12935545.37,5265308083,2017,March,13,46,37,28,32,23,9,96,64,24,30.51,30.32,30.11,10,7,1,17,10,22,0.47,1,1,1,0
3/14/17,1585,1473,112,2991790.507,1273918185,2017,March,14,39,33,26,31,27,10,76,61,46,30.06,29.73,29.53,10,6,2,32,21,44,0.89,1,1,1,0
3/15/17,3357,3267,90,6110553.118,2322202460,2017,March,15,33,28,22,12,8,5,52,42,32,30.12,29.92,29.84,10,10,10,35,18,47,0,0,0,0,0
3/16/17,5177,4798,379,10197816.37,3921571648,2017,March,16,42,33,24,17,13,5,55,44,33,30.26,30.18,30.14,10,10,10,25,11,36,0,0,0,0,0
3/17/17,7186,6029,1157,13971132.7,6310200977,2017,March,17,52,41,29,36,22,15,70,47,24,30.4,30.31,30.22,10,10,10,24,6,32,0.01,1,0,0,0
3/18/17,8255,4541,3714,15858603.22,13496377370,2017,March,18,59,50,40,43,40,35,92,73,53,30.22,30.07,29.95,10,9,4,20,7,23,0.37,1,0,0,0
3/19/17,5682,3757,1925,10567268.5,7029352958,2017,March,19,54,45,36,41,35,31,92,71,50,30.27,30.18,30.07,10,9,6,22,14,25,0.26,1,0,1,0
3/2/17,8144,7441,703,16572420.28,6041853232,2017,March,2,63,52,40,55,24,17,78,54,29,30.23,29.97,29.62,10,10,10,36,18,49,0.01,1,0,0,0
3/20/17,9306,7461,1845,18848552.43,9353627582,2017,March,20,54,46,37,36,31,26,76,57,38,30.24,30.15,30.03,10,10,10,15,7,18,0,0,0,0,0
3/21/17,10612,8720,1892,21286618.89,10403112556,2017,March,21,63,55,46,43,38,31,76,61,46,30.03,29.97,29.93,10,10,10,16,7,19,T,1,0,0,0
3/22/17,8326,7384,942,16792991.31,6582673208,2017,March,22,59,48,37,39,18,4,51,34,16,30.49,30.22,29.93,10,10,10,31,17,39,0,0,0,0,0
3/23/17,8613,7517,1096,17281406.14,7206480573,2017,March,23,48,39,30,21,9,3,52,35,17,30.68,30.58,30.5,10,10,10,16,8,19,0,0,0,0,0
3/24/17,9052,7233,1819,18075408.45,9157125712,2017,March,24,62,49,36,48,34,22,76,58,39,30.53,30.36,30.17,10,10,4,23,13,30,0.13,1,0,0,0
3/25/17,16111,7157,8954,34305816.87,32940718595,2017,March,25,78,66,54,55,50,47,77,58,39,30.21,30.17,30.14,10,10,10,22,9,24,0,0,0,0,0
3/26/17,6719,4189,2530,12705119.55,9529591215,2017,March,26,56,52,47,47,45,43,100,84,67,30.35,30.28,30.22,10,9,4,20,12,23,T,1,0,0,0
3/27/17,11350,8556,2794,23193156.56,14140164991,2017,March,27,76,61,46,58,51,46,100,79,57,30.19,30.05,29.91,10,6,0,14,5,16,0.01,1,1,0,0
3/28/17,10451,8623,1828,21562212.73,10893489204,2017,March,28,74,66,57,61,57,54,93,73,53,29.96,29.87,29.82,10,10,10,22,8,27,0.02,1,0,0,0
3/29/17,12797,9791,3006,26598598.17,15072040865,2017,March,29,67,60,52,57,45,33,87,60,32,30.2,30.08,29.98,10,10,10,20,11,24,T,0,0,0,0
3/3/17,6741,6099,642,12943918.2,4657706717,2017,March,3,44,38,31,29,19,6,82,52,22,30.56,30.36,30.21,10,10,6,29,15,40,T,0,0,1,0
3/30/17,10322,8507,1815,21218982.52,10493181707,2017,March,30,55,51,46,40,34,30,71,58,45,30.27,30.18,30.05,10,10,10,15,9,20,0,0,0,0,0
3/31/17,3794,3360,434,7331575.2,3164701709,2017,March,31,54,50,45,50,46,39,100,86,71,30.04,29.78,29.64,10,7,2,17,9,22,0.96,1,0,0,0
3/4/17,5251,3972,1279,10104501.02,5347131233,2017,March,4,44,35,26,13,9,6,55,39,22,30.63,30.59,30.53,10,10,10,24,12,31,0,0,0,0,0
3/5/17,5033,3718,1315,9283428.367,5465121848,2017,March,5,40,32,23,12,2,-4,42,30,17,30.76,30.65,30.54,10,10,10,17,8,23,0,0,0,0,0
3/6/17,8572,7312,1260,17781146.84,7503631773,2017,March,6,54,44,33,39,28,11,69,54,38,30.54,30.46,30.35,10,10,10,13,6,15,T,0,0,0,0
3/7/17,8386,7196,1190,17091364.09,7348665029,2017,March,7,71,59,47,55,47,39,93,70,47,30.33,30.2,30.01,10,10,10,28,10,35,0.07,1,0,0,0
3/8/17,10956,8879,2077,22151392.58,10751515696,2017,March,8,68,59,50,53,29,14,80,48,15,30.16,30.07,29.95,10,10,10,33,13,44,0.01,1,0,0,0
3/9/17,12400,9778,2622,25508962.26,13226402885,2017,March,9,74,61,47,36,24,18,40,27,13,30.15,30.04,29.88,10,10,10,22,9,32,0,0,0,0,0
4/1/17,27,21,6,63577.16572,176584240,2017,Apr,1,61,54,46,46,43,37,93,72,51,30.14,29.88,29.68,10,10,5,26,14,36,0.01,1,0,0,0
