Date,Bike.Count,Registered.Users,Casual.Users,Total.Dist,Total.Duration,Year,Month,Day,Temp_High,Temp_Avg,Temp_Low,Dew_High,Dew_Avg,Dew_Low,Hum_High,Hum_Avg,Hum_Low,Pres_High,Pres_Avg,Pres_Low,Vis_High,Vis_Avg,Vis_Low,Wind_Avg,Rain_Inches,Rain,Fog,Snow,Thunderstorm,Weekday,Is.Weekend,Is.Holiday
2017-01-31,7764,7301,463,15389658.595778912,5716900571,2017,Jan,31,56,42,28,35,23,16,79,54,28,30.07,29.87,29.71,10,10,9,9,0,0,0,1,0,Tuesday,FALSE,0
2017-02-01,8231,7762,469,16740855.513372479,5971942277,2017,Feb,1,51,43,34,36,31,27,92,66,39,30.09,30.01,29.93,10,10,10,5,0,0,0,0,0,Wednesday,FALSE,0
2017-02-02,7649,7210,439,15584327.403807744,5744164625,2017,Feb,2,50,43,36,34,25,13,70,51,31,30.26,30.16,30.09,10,10,10,8,0,0,0,0,0,Thursday,FALSE,0
2017-02-03,6543,6161,382,12810896.034228437,4613392178,2017,Feb,3,40,35,30,13,11,9,41,36,30,30.36,30.26,30.18,10,10,10,11,0,0,0,0,0,Friday,FALSE,0
2017-02-04,4807,3889,918,8973237.54542896,4765717186,2017,Feb,4,41,33,24,16,8,1,50,35,20,30.54,30.42,30.29,10,10,10,10,0,0,0,0,0,Saturday,TRUE,0
2017-02-05,5489,4346,1143,10589605.836840453,5622155968,2017,Feb,5,54,43,32,32,21,12,70,50,29,30.27,30.06,29.92,10,10,10,10,0,0,0,0,0,Sunday,TRUE,0
2017-02-06,8399,7520,879,17656547.642289504,7378790332,2017,Feb,6,61,47,33,38,34,29,92,66,40,30.18,30.09,29.98,10,10,10,8,0,0,0,0,0,Monday,FALSE,0
2017-02-07,9796,8833,963,20682327.23969309,8326368992,2017,Feb,7,73,61,48,54,45,38,72,66,59,29.96,29.77,29.6,10,10,10,13,0,1,0,0,0,Tuesday,FALSE,0
2017-02-08,10619,9443,1176,22459231.33999061,9662817824,2017,Feb,8,74,63,51,54,47,41,89,64,38,29.69,29.64,29.59,10,10,10,10,0,1,0,0,0,Wednesday,FALSE,0
2017-02-09,5369,5150,219,10419869.450453158,3422417021,2017,Feb,9,53,39,25,45,26,5,89,63,36,30.26,29.79,29.48,10,9,4,21,0.12,1,0,1,1,Thursday,FALSE,0
2017-02-10,5974,5549,425,11250835.340464458,4155456304,2017,Feb,10,39,31,23,14,8,4,50,39,27,30.44,30.3,30.05,10,10,10,12,0,0,0,0,0,Friday,FALSE,0
2017-02-11,6821,4776,2045,13025313.689516585,7992804783,2017,Feb,11,53,44,34,37,28,15,71,54,37,30.02,29.98,29.92,10,10,10,5,0,0,0,0,0,Saturday,TRUE,0
2017-02-12,4723,3637,1086,9082014.424735691,4878216297,2017,Feb,12,55,50,45,47,40,30,86,64,41,30,29.83,29.68,10,10,7,9,0.03,1,0,0,0,Sunday,TRUE,0
2017-02-13,6364,5955,409,12286169.154975688,4488139734,2017,Feb,13,47,41,35,24,19,13,56,42,27,30.11,30.02,29.88,10,10,10,19,0,0,0,0,0,Monday,FALSE,0
2017-02-14,7409,7003,406,14967631.632962886,5334103582,2017,Feb,14,46,38,30,35,27,20,75,60,45,30.08,29.93,29.72,10,10,10,7,0,1,0,0,0,Tuesday,FALSE,0
2017-02-15,7485,6974,511,15378551.313970745,6021353407,2017,Feb,15,55,46,37,38,26,16,79,57,34,29.7,29.59,29.46,10,10,10,11,0,0,0,0,0,Wednesday,FALSE,0
2017-02-16,6427,6088,339,12903615.995096615,4251653371,2017,Feb,16,42,37,32,23,16,13,61,47,33,29.96,29.81,29.66,10,10,3,13,0,0,0,1,0,Thursday,FALSE,0
